	ENGLISH	GERMAN	ITALIAN	FRENCH	SPANISH
1	# AHEAD!	# IN FÜHRUNG	# AVANTI!	# EN AVANT !	¡# ADELANTE!
2	# LOOPS	# LOOPS	# ANELLI	# BOUCLES  	# BUCLES
3	# MILLION!	# MILLION(EN)	# MILIONI!	# MILLION(S) !	¡# MILLONES!
4	1 BILLION!!!	1 MILLARDE	1 MILIARDO!	1 MILLIARD !!!	¡1 MILLARDO!
5	30 SECOND SAVER	30-SEKUNDEN-BONUS	PALLINA SALVA 30 SECONDI	BILLE SAUVÉE 30 SECONDES 	30 SEGUNDOS MÁS
6	60 SECOND SAVER	60-SEKUNDEN-BONUS	PALLINA SALVA 60 SECONDI	BILLE SAUVÉE 60 SECONDES 	60 SEGUNDOS MÁS
7	ACTIVE	AKTIV	ATTIVO	ACTIF(VE)	ACTIVO
8	ADVANCE X	X VOR	AVANZA DI X	AVANCE VERS X	AVANZA HACIA X
9	ALL SHOTS 5 MILLION!	ALLE SCHÜSSE 5 MIO.	5 MILIONI PER OGNI TIRO!	TOUS TIRS 5 MILLIONS !	¡DISPAROS POR 5 MILLONES!
10	ARE YOU SURE?	SICHER?	CONTINUARE?	ES -TU SÛR(E) ?	¿ESTÁS SEGURO?
11	AWARD IS LIT	PREIS IST AN	PREMIO ACCESO	RÉCOMPENSE ALLUMÉE	EL PREMIO ESTÁ ENCENDIDO
12	BALL 1 LOCKED!	BALL 1 GESPERRT	PALLINA 1 BLOCCATA!	BILLE 1 BLOQUÉE !	¡BOLA 1 BLOQUEADA!
13	BALL 2 LOCKED!	BALL 2 GESPERRT	PALLINA 2 BLOCCATA!	BILLE 2 BLOQUÉE !	¡BOLA 2 BLOQUEADA!
14	BALL 3 LOCKED!	BALL 3 GESPERRT	PALLINA 3 BLOCCATA!	BILLE 3 BLOQUÉE !	¡BOLA 3 BLOQUEADA!
15	BALL SAVED!	BALL GERETTET	PALLINA SALVATA!	BILLE SAUVÉE !	¡BOLA SALVADA!
16	BALLS	BÄLLE	BILIE	BILLES	BOLAS
17	BEAR	BÄR	ORSO	OURS	OSO
18	BEAR ATTACK	BÄRENANGRIFF	ATTACCO ORSO	ATTAQUE D'OURS	ATAQUE DE OSO
19	BEAR FOUND	BÄR GEFUNDEN	ORSO TROVATO 	OURS TROUVÉ	HALLASTE AL OSO
20	BIG POINTS	SUPERPUNKTE	PUNTI MAGGIORI	BEAUCOUP DE POINTS 	MUCHOS PUNTOS
21	BONUS	BONUS	BONUS	BONUS	BONO
